review,sentiment
This movie was fantastic and I loved it,positive
"Terrible movie, waste of time",negative
Absolutely wonderful experience,positive
Worst film I have ever seen,negative
"It was okay, not great",neutral
Amazing acting and story,positive
Very boring and slow,negative
I enjoyed every moment,positive
"Not good, not bad",neutral
Excellent direction and music,positive
Poor screenplay and bad acting,negative
"Superb movie, highly recommend",positive
Disappointing and dull,negative
Brilliant cinematography,positive
Awful plot and terrible ending,negative
Heart touching and beautiful,positive
Not worth watching,negative
Outstanding performance by actors,positive
Mediocre storyline,neutral
Loved the movie so much,positive
